Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
LIRI-JP,1,RK326_Cancer,793.5691956,17779.96115,27.03321875,390.0640576,2.699526845,1.144206761,226.0928862
LIRI-JP,1,RK337_Cancer,1672.5348,3026.380206,603.6411144,2322.014128,12.54826023,30.70301085,101.7366314
LIRI-JP,1,RK338_Cancer,522.1035777,2429.62884,293.360524,2815.226203,0.11704509,55.36524733,60.15143119
LIRI-JP,1,RK338_Cancer2,522.1035777,2429.62884,293.360524,2815.226203,0.11704509,55.36524733,60.15143119
LIRI-JP,1,RK305_Cancer,204.2960833,8288.7944,95.23773867,4681.866241,27.23653663,25.40781897,353.4438584
LIRI-JP,1,RK289_Cancer,9.857751979,6696.71413,211.4062824,1685.531742,4.656937717,23.53226949,62.27591128
LIRI-JP,1,RK297_Cancer,666.3399494,11532.75691,213.4381828,5029.04864,179.0941763,19.17618026,618.7775876
LIRI-JP,1,RK285_Cancer,279.2176767,2417.41434,546.7099984,4396.676471,37.31374527,29.30806962,322.0315437
LIRI-JP,1,RK284_Cancer,329.0951482,4545.091453,138.2293026,1196.177654,0.247014668,26.76165796,34.33357899
LIRI-JP,1,RK280_Cancer,420.7904205,4195.820637,92.71343168,1220.535135,117.764365,12.16861892,70.45428353
LIRI-JP,1,RK277_Cancer,795.1595911,322.8883395,12.74638861,590.5601804,11.8181764,2.476640467,469.7875268
LIRI-JP,1,RK267_Cancer,367.6795542,6111.953712,138.2162363,1430.539181,19.31140191,31.58379589,89.44193846
LIRI-JP,1,RK268_Cancer,2080.890971,309.3125896,136.5002124,6050.351681,284.7441228,93.06188319,301.0134703
LIRI-JP,1,RK270_Cancer,940.1061388,8284.065652,131.9816205,4267.302614,3.77261011,9.382757295,195.4663437
LIRI-JP,1,RK264_Cancer,619.0461716,4783.65141,166.6928418,2271.750054,0.348346198,25.61032484,33.3538656
