Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0103_Pa_P_526,0.0306095,0.0607284,0.580261,0.0330318,0,0,0
PACA-CA,0,MPCC_0024_Pa_C,0,0.0240335,0,0,0.00707313,0,0
PACA-CA,0,PCSI_0111_Pa_P_526,0,0.289008,0.156345,0.0137257,0.0646295,0,0
PACA-CA,0,PCSI_0101_Pa_P_526,12.8346,0.882541,0,14.7582,0.334614,0,0.441031
PACA-CA,0,PCSI_0105_Pa_P_526,10.337,0,0.132646,1.44049,0.0837362,0,0.00834328
PACA-CA,0,MPCC_0017_Pa_C,0,0.799417,0,0,0,0,0
PACA-CA,0,PCSI_0074_Pa_P_526,2.42113,0.441244,0.067755,2.27293,0.110916,0,0.17457
PACA-CA,0,PCSI_0090_Pa_P_526,0,0.0178648,1.00561,0.616674,0.219497,0,0
PACA-CA,0,MPCC_0015_Pa_C,0,0.20956,0,0,0,0.00277714,0.0220209
PACA-CA,0,PCSI_0075_Pa_P_526,0,0,0,0.0124786,0,0,0
PACA-CA,0,PCSI_0073_Pa_P_526,0,0.156342,0,0.555394,0.120705,0,0
PACA-CA,0,PCSI_0102_Pa_P_526,0,0.172273,0.015463,0.677463,0,0,0.0444291
PACA-CA,0,PCSI_0081_Pa_P_526,0.313224,0.0852402,0.0595762,5.28587,0,0,0
PACA-CA,0,MPCC_0023_Pa_C,0,0.376513,0,0,0.00418584,0,0.0448063
PACA-CA,0,MPCC_0025_Pa_C,0,0.634435,0.00608971,0,0,0,0.029916
PACA-CA,0,MPCC_0043_Pa_C,0,0.446463,0,0.00563283,0,0.00155948,0.0299148
PACA-CA,0,MPCC_0014_Pa_C,0,0.285899,0.00907443,0.0112736,0,0,0.012558
PACA-CA,0,PCSI_0077_Pa_P_526,0,20.2664,0.179668,0,0,0,0
PACA-CA,0,PCSI_0072_Pa_P_526,0.293864,0.607471,0.136432,0.615059,0.138666,0,0.0918673
