Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.BC.A10Q.11A.11R.A131.07,0,51087.5984,612479.3307,26083.6614,663390.748,51895.6693,10295.2756,22239.1732
TCGA.BC.A10R.11A.11R.A131.07,0,44368.2076,586369.7799,22631.9854,704973.9339,43466.9278,6362.7462,42357.395
TCGA.BC.A10T.11A.11R.A131.07,0,56170.8145,507402.7149,19135.7466,1023109.729,47368.7783,8099.5475,56819.0045
TCGA.BC.A10U.11A.11R.A131.07,0,52465.9484,525597.8857,26656.6375,711416.1415,36627.7699,4034.1533,39996.7473
TCGA.BC.A10W.11A.11R.A131.07,0,65673.5395,767685.567,27333.3333,682420.9622,50238.8316,9118.5567,31841.9244
TCGA.BC.A10X.11A.11R.A131.07,0,48605.198,576737.6238,23615.7178,646658.7067,42582.9208,12976.4851,16878.0941
TCGA.BC.A10Y.11A.11R.A131.07,0,33795.5759,265045.7666,16792.5248,812083.9359,44331.8078,5959.5728,15932.8757
TCGA.BC.A10Z.11A.11R.A131.07,0,47538.806,480279.1045,11884.3284,761617.9104,30714.9254,1244.7761,37420.1493
TCGA.BC.A110.11A.11R.A131.07,0,59962.9941,352370.0589,21847.7712,1069730.025,51680.4037,1704.7939,50203.5324
TCGA.BC.A216.11A.11R.A155.07,0,63550.0468,437460.2432,36880.2619,1456190.833,104368.5688,13489.2423,53076.7072
TCGA.BD.A2L6.11A.21R.A213.07,0,28856.7759,299987.1741,14360.9505,467442.5305,38921.6442,3453.4361,15297.3667
TCGA.BD.A3EP.11A.12R.A22L.07,0,33047.7477,551151.3514,14343.2432,808302.7027,35201.8018,2566.6667,25246.8468
TCGA.DD.A113.11A.12R.A131.07,0,60451.4811,407801.8386,22532.1757,965598.57,82959.142,13926.4556,41919.3054
TCGA.DD.A114.11A.12R.A131.07,0,40072.7386,591665.5269,20267.3298,486032.95,34986.0118,7948.3991,21924.1529
TCGA.DD.A116.11A.12R.A26B.07,0,43905.1095,388044.6067,25689.3755,744998.3779,38483.3739,11033.2522,15205.1906
TCGA.DD.A118.11A.11R.A131.07,0,43984.6336,478495.2719,27638.2979,484277.7778,45111.1111,8445.6265,15758.8652
TCGA.DD.A119.11A.11R.A131.07,0,63273.5537,213939.6694,18944.6281,1336928.099,104689.2562,21526.4463,71243.8017
TCGA.DD.A11A.11A.11R.A131.07,0,48500.981,136829.3002,11381.295,1528077.175,85536.9523,12561.1511,86067.3643
TCGA.DD.A11B.11A.11R.A131.07,0,44664.9007,668871.5232,12585.4305,523023.8411,31060.9272,6209.2715,26558.9404
TCGA.DD.A11C.11A.11R.A131.07,0,59667.2326,491709.6774,14904.9236,893794.5671,50957.5552,15633.2767,27918.5059
TCGA.DD.A11D.11A.12R.A131.07,0,46841.8253,456100.6753,21787.5998,350115.8175,34003.6832,7594.8435,20166.9736
TCGA.DD.A1EB.11A.11R.A131.07,0,46074.2697,333248.1202,22498.7622,644309.6088,22863.8389,14430.7642,16820.5975
TCGA.DD.A1EC.11A.11R.A131.07,0,48110.0164,315772.578,14130.5419,1323461.412,97302.1346,5125.6158,40394.0887
TCGA.DD.A1EE.11A.11R.A131.07,0,64220.6011,454679.895,23646.3379,1181153.195,68068.8649,9984.2428,40869.5652
TCGA.DD.A1EG.11A.11R.A213.07,0,51352.9963,889859.5506,21233.1461,626493.4457,31855.8052,4959.7378,27233.1461
TCGA.DD.A1EH.11A.11R.A131.07,0,62584.5881,522993.7998,26375.5536,645638.6182,42635.961,9330.3809,15128.4322
TCGA.DD.A1EI.11A.11R.A131.07,0,43147.5083,625759.4684,15982.0598,530148.1728,30704.9834,9181.3953,14316.2791
TCGA.DD.A1EJ.11A.11R.A155.07,0,41664.2212,487471.7833,21770.8804,858998.8713,63454.2889,5545.1467,32214.447
TCGA.DD.A1EL.11A.11R.A155.07,0,35511.9644,437385.6483,20883.1386,488968.837,28640.512,11244.296,15669.4491
TCGA.DD.A39V.11A.11R.A213.07,0,85210.1523,491643.6548,20894.4162,1343602.031,77867.0051,7041.6244,69645.6853
TCGA.DD.A39W.11A.11R.A213.07,0,52463.1422,413523.455,23790.7669,494504.8399,37633.656,6676.0983,12673.1199
TCGA.DD.A39X.11A.11R.A213.07,0,78440.5646,483761.5156,19604.7548,1129297.92,66206.5379,8013.373,26566.1218
TCGA.DD.A39Z.11A.21R.A213.07,0,87817.3469,721578.5714,21462.2449,1200990.847,69213.2653,11552.0408,41480.6122
TCGA.DD.A3A1.11A.11R.A213.07,0,84450.495,865221.5347,16367.5743,866727.7228,39549.505,4633.6634,30976.4851
TCGA.DD.A3A2.11A.11R.A213.07,0,45012.7796,483427.3163,31072.6837,683929.7125,51369.0096,5528.754,11111.0224
TCGA.DD.A3A3.11A.11R.A22L.07,0,58155.6257,411458.4648,23722.3975,994128.286,44354.3638,5699.2639,29289.1693
TCGA.DD.A3A4.11A.11R.A22L.07,0,39179.0004,244361.8567,13741.658,510048.3464,33924.9592,5466.4096,18579.8606
TCGA.DD.A3A5.11A.11R.A22L.07,0,79771.9645,572138.2034,21936.8213,1125838.105,69243.8302,7757.157,36517.2754
TCGA.DD.A3A6.11A.11R.A22L.07,0,83327.1429,1223133.057,19610,863634.2857,40357.1429,12412.8571,34564.2857
TCGA.DD.A3A8.11A.11R.A22L.07,0,49692.8799,661853.3475,13115.8342,523819.3411,15218.916,9891.6047,21209.3518
TCGA.EP.A12J.11A.11R.A131.07,0,41639.4177,709182.5308,22380.7391,482409.8544,20767.0773,13818.589,15253.0795
TCGA.EP.A26S.11A.12R.A16W.07,0,50287.9939,561006.079,27671.7325,715572.9483,41539.5137,11098.0243,15389.0578
TCGA.EP.A3RK.11A.11R.A22L.07,0,30075.1634,710441.1765,22603.4858,707083.878,43351.8519,1239.6514,13969.4989
TCGA.ES.A2HT.11A.11R.A180.07,0,32489.5516,468113.9318,9023.6587,573789.231,23338.1393,4403.2389,28080.2292
TCGA.FV.A23B.11A.11R.A16W.07,0,34634.3669,270313.9535,11856.5891,564511.6279,35653.1008,10152.4548,16744.186
TCGA.FV.A2QR.11A.11R.A213.07,0,29755.8299,271266.118,11080.9328,560558.9849,27651.5775,5785.3224,17495.1989
TCGA.FV.A3I0.11A.11R.A22L.07,0,49981.0811,458315.3153,27490.0901,952715.3153,44581.0811,6763.964,37155.8559
TCGA.FV.A3I1.11A.11R.A22L.07,0,38515.7407,553856.4815,22581.4815,803733.3333,51373.1481,2080.5556,20252.7778
TCGA.FV.A3R2.11A.11R.A22L.07,0,42169.67,617890.2612,31045.1508,469201.8627,28238.1049,698.9269,11451.7109
TCGA.G3.A3CH.11A.11R.A22L.07,0,39825.3546,575208.3333,17807.6241,551887.4113,26308.5106,15787.234,10121.4539
TCGA.2V.A95S.01A.11R.A37K.07,1,1177.3905,285011.7674,395.5042,202874.0837,98.3874,354.4551,974.7516
TCGA.2Y.A9GS.01A.12R.A38B.07,1,10276.4909,84196.6486,26051.7496,86573.6816,3544.6033,1009.3642,10784.1301
TCGA.2Y.A9GT.01A.11R.A38B.07,1,45668.6842,197555.705,17322.5734,502987.6709,43427.0343,10488.2313,25509.0787
TCGA.2Y.A9GU.01A.11R.A38B.07,1,45330.4861,309749.4244,8787.6614,379639.4848,4.1707,223.5494,3480.0307
