Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.2V.A95S.01A.11R.A37K.07,1,1177.3905,285011.7674,395.5042,202874.0837,98.3874,354.4551,974.7516
TCGA.2Y.A9GS.01A.12R.A38B.07,1,10276.4909,84196.6486,26051.7496,86573.6816,3544.6033,1009.3642,10784.1301
TCGA.2Y.A9GT.01A.11R.A38B.07,1,45668.6842,197555.705,17322.5734,502987.6709,43427.0343,10488.2313,25509.0787
TCGA.2Y.A9GU.01A.11R.A38B.07,1,45330.4861,309749.4244,8787.6614,379639.4848,4.1707,223.5494,3480.0307
TCGA.2Y.A9GV.01A.11R.A38B.07,1,28766.4975,266806.2606,17051.6074,466648.9002,35840.1015,6896.7851,32119.2893
TCGA.2Y.A9GW.01A.11R.A38B.07,1,16665.1341,68424.5211,15110.3448,700611.4943,25045.977,5167.0498,62030.6513
TCGA.2Y.A9GX.01A.11R.A38B.07,1,16507.2727,130309.697,19504.2424,336507.8788,17566.6667,4781.8182,26831.5152
TCGA.2Y.A9GY.01A.11R.A38B.07,1,7201.3926,39207.2844,9569.8982,57938.4039,457.9539,938.4039,1230.316
TCGA.2Y.A9GZ.01A.11R.A39D.07,1,15503.7543,212168.6007,16896.9283,255823.8908,8240.273,284.6416,11735.8362
TCGA.2Y.A9H0.01A.11R.A38B.07,1,33181.7329,413798.5612,10561.7767,79976.8533,8262.1207,402.2521,8833.2812
TCGA.2Y.A9H1.01A.11R.A38B.07,1,47609.1356,1169084.707,9854.8714,884216.2475,18164.7875,3975.7155,28357.3287
TCGA.2Y.A9H2.01A.12R.A38B.07,1,15321.05,17890.9642,1418.9803,43164.5634,3535.5881,840.9894,2789.5003
TCGA.2Y.A9H3.01A.11R.A38B.07,1,11485.1117,651177.4194,3426.799,542527.2953,21.0918,29.7767,22383.3747
TCGA.2Y.A9H4.01A.11R.A38B.07,1,10972.8822,352213.103,22893.2085,360234.2213,4530.8375,129.5896,10802.0158
TCGA.2Y.A9H5.01A.11R.A38B.07,1,9737.2035,620038.7016,4416.9788,344463.7953,483.1461,1244.6941,9640.4494
TCGA.2Y.A9H6.01A.11R.A39D.07,1,12120.3396,254426.0244,6431.1554,686406.0539,58.3241,638.612,17585.0867
TCGA.2Y.A9H7.01A.11R.A39D.07,1,109.2053,839959.3196,4666.0949,312268.8794,731.275,1673.5277,24344.1967
TCGA.2Y.A9H8.01A.11R.A39D.07,1,26282.2763,337774.8515,89.3566,163200.8492,8.0623,63.1543,17151.7736
TCGA.2Y.A9H9.01A.21R.A39D.07,1,5591.3427,200670.3688,41554.3215,660029.617,10450.2349,686.8859,17365.2285
TCGA.2Y.A9HA.01A.11R.A39D.07,1,12625.6567,154255.6918,5730.7356,172952.2767,36.7776,243.8704,7478.9842
