TP53,1310637;7520348;7557145;7567135;7657282;7698709;7780959;7796400;8008749;8018902;8073440;8276377;8280380;8393124;8475992;8617479;8630891;8630951;8711933;8726843;8740842;8799388;8801209;8916146;8918403;9213311;9232344;9236898;9260603;9276709;9312737;9354892;9376195;9444927;9537436;9568784;9656355;9669809;9723024;9740272;9762287;9808525;9822921;9828214;9864408;9864969;9866832;9923922;10023698;10196386;10212000;10362118;10383902;10390591;10398901;10436804;10436806;10436811;10463477;10469215;10526055;10526056;10526058;10536357;10564951;10594204;10626162;10632753;10690586;10711445;10718212;10735605;10738270;10744937;10813869;10928141;10962865;10963376;10968854;10982614;10982615;10998080;11004673;11020850;11029885;11063221;11126384;11144921;11144926;11161385;11168786;11180865;11260864;11261824;11264652;11266517;11270475;11283934;11311485;11340376;11347516;11382316;11382326;11410319;11410326;11420469;11496329;11521218;11580146;11584965;11677943;11677947;11692064;11783914;11798885;11802210;11866974;11898040;11953819;12000734;12021897;12063950;12094375;12107841;12120204;12143246;12175538;12210082;12239913;12374683;12378511;12397277;12399068;12444445;12537585;12576437;12607585;12668978;12692194;12717255;12730870;12745462;12749210;12829999;12883663;12903495;12969785;14562286;14598145;14696408;14704000;15011824;15011841;15052690;15154647;15163272;15192787;15209630;15213623;15221372;15223956;15229426;15362740;15529594;15551730;15578423;15619017;15677536;15700311;15702232;15722574;15754044;15778546;15794670;15816435;15915369;15963980;15998419;16024633;16114133;16116640;16177659;16209266;16489641;16505435;16568721;16596244;16679351;16686942;16724347;16724348;16733863;16818635;16908513;16937443;17047434;17187167;17369680;17391729;17468929;17523309;17531965;17591040;17595796;17909001;18158568;18176045;18176964;18293709;18306229;18333072;18425077;18495210;18510672;18677542;18769829;18854271;18938071;18942395;18979138;18990008;19057967;19183832;19190145;19214369;19262069;19287191;19345377;19350196;19460356;19467694;19578742;19780758;19819644;19866394;19866438;19915764;19950772;20121546;20216413;20420253;20428886;20480521;20510329;20544687;20621328;20668816;20668938;20846124;20862982;20924037;20935395;20952295;20955617;21060703;21115891;21131824;21160963;21292296;21344355;21394804;21412069;21459725;21475593;21533411;21538283;21574103;21708280;21898503;22111085;22180306;22230750;22266220;22370917;22425181;22807971;22824796;22843894;22851859;22977666;23060400;23073321;23073323;23112962;23134201;23163606;23268317;23298486;23319036;23335286;23404110;23446751;23495740;23563208;23573322;23580078;23613672;23727990;23828315;23845469;24114011;24122302;24131658;24178677;24186137;24204826;24310400;24329682;24349281;24360936;24454372;24508317;24563076;24649220;24739824;24756644;24778022;24827397;24860672;24969815;24997986;25004291;25039376;25041017;25131931;25197345;25200035;25225463;25245603;25267595;25325061;25367684;25466963;25503275;25526346;25536104;25680569;25731239;26111977;26189129;26207380;26250568;26427701;26486326;26592508;26617872;26680985;26717940;26729014;26797414;26806338;26900302;26925680;26935396;26943405;26980625;27009864;27267833;27338241;27349455;27472451;27554639;27622582;27725202;27776323;27784017;27823638;27829280;28008299;28029662;28126467;28337870;28428144;28490009;28609656;28648284;28698100;28913568;29110582;29278425;29309301;29334603;29353494;29360550;29408647;29413685;29416916;29551704;29573058;29698701;29731265;29740198;29807574;29848569;29871934;30006612;30158952;30249899;28693246;9257438;23645518
KRAS,10189896;10212000;10364037;10436804;10480335;10526058;10690586;10982614;11135265;11180865;11311485;11410326;11898040;12063950;12374683;12444445;12469220;12640108;12692057;12692194;12720172;14562286;15242496;15478297;15702232;16446870;16696030;16724348;16908513;17294242;17468929;18677542;19183832;19319137;19440799;19780758;20381452;20565817;20668816;20720444;20864634;21051183;21303542;21307665;21375404;21538283;21590256;21611090;2167400;21813159;22178589;22180306;22210086;22266220;22367707;22395571;22762308;22810956;22843894;22846349;23295441;23318457;23335286;23391413;23391555;23483557;23495740;23580078;23686746;23828315;24007821;24122810;24139215;24146220;24186137;24186143;24372748;24406866;24508317;24551272;24563076;24614695;24739824;24804938;24889489;24960403;24997986;25041017;25043045;25197345;25267595;25466963;25526346;25536104;25608663;25632066;25636086;25749176;25966424;26111977;26189129;26189560;26405193;26427701;26459784;26500333;26540314;26617872;26717940;26769137;26806338;26868125;27009864;27032374;27102149;27191262;27259014;27267833;27334809;27335026;27410028;27602165;27622582;27745798;27823638;27829280;28008299;28439013;28535665;28609656;28698100;28844952;29085567;29142904;29278425;29309301;29334603;29348486;29353494;29360550;29386660;29413685;29416916;29452147;29527009;29551704;29573058;29599313;29642912;29675965;29807574;29848569;29871934;30006612;30067440;30158952;30304546;7557145;7796400;7830335;7926462;7927901;8012983;8054276;8283077;8475992;8492470;8541732;8608574;8651173;8708392;8763258;8857639;9354164;9538122;9623030;9647372;9740272;9895049;10564951;19815696;29390348;29698701;28693246;18439086;22561520;24895231;25975284;26956004;27620744;27658789;28007466;28045050;28214200;28401006;28900470;29110582;29785570;30349952
CEACAM3,541532;1299231;1321005;1340939;1657845;1709347;1715601;1762661;1824154;1847609;1886576;2021550;2072697;2125254;2212836;2335386;2370693;2412682;2437230;2441731;2451557;2456040;2472996;2558493;2560529;2571740;2582158;2730018;2756987;2795683;2796960;2830725;2986349;3004013;3013817;3048082;3130361;3137892;3457770;3713684;4029945;6095018;6158264;6428041;6732258;7139579;7461595;7676713;7686712;7802141;7875490;7906119;8146530;8160902;8185350;8199698;8358193;8554130;8569609;8574344;8591850;8705462;8751192;8859179;8887046;9020952;9222685;9310245;9658330;9717998;10365850;10414697;10436824;10601548;10642939;10664288;10873083;11326643;11420469;11480791;11963335;12063953;12063982;12430077;12473192;12629979;12901270;12971966;14571813;14676443;14760772;15067341;15272578;15549451;15743160;15836844;16049296;16680226;16941699;17009157;17072981;17278210;17424828;17431781;17955299;17999125;18057991;18067645;18265660;18392717;18425077;18987939;19100500;19214369;19390950;19624884;19920395;20137350;20450726;20830246;20935395;20947473;20976731;21573879;21882202;21942086;22246855;22504729;22524851;22580675;22882148;22888427;23134181;23226802;23476861;23506840;23682528;23981609;24054014;24413783;24509187;24744600;24900151;24931246;25003676;25158256;25250798;25341348;25368272;25564055;25731241;25731246;25921161;26060332;26074706;26077119;26206643;26388908;26388924;26401081;26683498;26966527;26974756;27079357;27142076;27223281;27346406;27358229;27806633;28011514;28078124;28099333;28111425;28133124;28169208;28373474;28375170;28750922;28838033;28875420;29069888;29333003;29374731;29394535;29394806;29438681;29637880;29720881;29995783;30003469;30022384;30191731;30210635;30219954
AKT1,15057907;15150102;15940637;16525641;16551849;17440093;17461449;17708250;18161916;19147772;19228732;19376120;20066734;20121546;20135719;20731018;21076843;21130731;21354147;21874010;21965739;22044563;22088438;22180306;22213475;22489696;22733151;22735632;22810956;23254774;23306848;23314853;23376645;23588885;23646150;23798555;23812726;23832540;24081803;24124380;24141775;24186143;24293410;24310400;24312291;24551272;24574749;24603952;24658595;24676340;24700501;24796583;24902539;25152244;25446840;25580681;25623055;25639632;25657110;25895131;26014518;26090720;26206664;26230915;26287365;26470769;26770369;26781979;26797416;26823715;26877611;26910791;26910892;26947513;26949052;27125425;27627808;27637083;27655691;27811010;27829993;27918553;28029662;28178656;28212545;28223426;28412732;28423362;28544747;28594409;28609656;28656003;28670110;28694672;28698100;28733220;28766687;28887321;28902342;29024814;29110119;29170841;29224898;29344142;29378174;29413947;29416013;29486282;29527009;30001777;30084835;30276551;30278918;30299561;12704859;18181165;26294099;27601921;16767220;16344070;12819026;15566522;16926628;16984600;17575102;18081149;18397823;19445727;20012722;20145951;20359814;21042948;21318226;21325634;21782971;21855619;22068162;22727731;22875246;23315987;23645731;24725816;24892809;24895231;25037728;25174601;25277864;25369307;25742482;26028364;26255969;26572077;26935541;26967384;27020207;27317099;27593557;27791012;28100868;28120434;28378944;28454273;29545603;29693152;29749456;29864908;29954840;30266493;30282449;30322054
EGFR,11261824;12654182;14761293;15921858;16061875;16116640;16926628;17551669;17575102;17708250;18825277;19084911;19331129;1980521;20040392;20565817;20607690;20943640;21109386;21253578;21538283;22210086;22246855;23391413;23828315;24081803;24186137;24550739;24704591;24787096;24804938;24812767;24857099;24960403;24997986;25004291;25037728;25181339;25341559;25536104;25770659;25815516;25879652;25966433;26111977;26207380;26405193;26868125;27020207;27317099;27823638;27829278;28008299;28260927;28285962;28397047;2839749;28412732;28459363;28729631;28736630;28768863;28843919;29138340;29352306;29413685;29416916;29698701;29721058;30304546;8088775;8935630;9542514;9822921;8683379;8822109;11910351;15213623;15519654;15566522;15665568;15833824;16032426;16525641;16551849;16891476;17079474;17341899;18025804;18087285;18417042;19262069;19262900;19319137;19376120;19414361;19509244;19777609;19956499;20001803;20164661;20388063;20496551;20525563;20530271;20961434;21472131;21573507;21673683;21761100;22088438;22178589;22281980;22591401;23225424;23704979;23787814;24008372;24146220;24186143;24372748;24393913;24551272;24839254;24927194;25185194;25217982;25225463;25336976;25639632;25749176;25760482;26540314;26550313;26572077;26656516;27050174;27136744;27335026;27461681;27537589;27593557;27902465;28040546;28401021;28624624;28975832;29551704;29578146;29805522;29954840;11585718;14648071;24420749;27102149;26028817;8640617;12044528;12846405;17690040;25975284;26857926;28671339;28801995;28900470;29564177;7528080
MUC1,10066451;10459625;10570420;10573510;10675475;11060187;11295067;11422499;11598251;11710692;11776376;11845258;11852114;11920540;12110637;12143210;12168796;12495310;12748245;1359630;1369804;14752841;15071739;15136764;15213623;15223952;15223956;15260848;15282700;15492813;15554392;15690474;15725805;15743160;15772801;16101182;16114133;16116640;16124042;16168519;16360234;16741522;16857800;17527078;17616258;17653761;18425077;18430455;18795651;19055478;19061973;19094709;19347361;19639217;19680592;19784541;19787286;20107918;20168227;20353905;20420253;20518892;20578261;20714897;20816680;20947262;21084962;21106111;21160963;21199202;21412069;21462380;21494118;21700631;21737980;21813159;21922366;22027009;22175889;22175890;22221899;22271564;22504729;22634127;22851859;22895264;23008149;23073321;23073323;23101681;23106580;23134772;23136569;23163606;23339102;23573322;23728799;23877328;23919110;24081803;24832159;24860672;25039376;25146100;25202392;25343105;25355436;26111977;26275245;26278323;26416714;26500334;27358229;27739441;27748735;27795812;2810826;28415560;28505002;28658766;28892903;29698701;30117003;30268674;3376922;6299500;7523272;8393843;8797593;8903378;9042800;9637464;9661899;9829723;8563941;11350903;19260467;19631667;27280413;29559246;18081149;15836844;17013725;18855009;22306546;23354623;23612463;24955710;2756987;27688085;28982905
KRT7,2438941;2467436;2473951;7540236;8878022;9241069;9766827;10084653;10320910;10563195;10617275;10843291;10912937;10931219;11353065;11583969;11688471;12094375;12379757;12429797;12588436;12717255;12748245;12808057;14508391;14767739;15048994;15218348;15223956;15235893;15260848;15567946;15725805;15743037;15832081;15888382;15943996;15952192;16146811;16360234;16439986;16680226;16708300;16831286;17072981;17240305;17406986;17527078;17591040;18043033;18184271;18203305;18329969;18392709;18392717;18580314;18622386;18936968;19094709;19212669;19784541;19921471;20107918;20137822;20431751;20524437;20830246;21060703;21084962;21106111;21292296;21344355;21475593;21574103;21661435;21911893;21992455;22118304;22175890;22535609;22889982;22891589;22970052;23052165;23106580;23220842;23316620;23341095;23358590;23388123;23476861;23573322;23807641;23919110;23986064;24507101;24804133;24804938;24832159;24926087;24955270;25039376;25202392;25731429;25889744;26182391;26275245;26486326;26603157;26805150;26805159;26868125;26956962;27280413;27429820;27552844;28078121;28194091;28195258;28317047;28415560;28505002;28731197;28782079;29110582;29270746;29317591;29394535;29513894;29559246;29698701;29920486;30001234;30117003;30141990;30194215;30215052;30300991;30367665;16258812;16634969;21921633;22251520;23715835;27928458
TENM1,1166651;1558412;1853615;2183284;2414617;2535924;3193769;7534059;7740815;7782034;8345023;8630890;8909516;8979062;9356834;9574336;9870721;10398898;10427124;10430380;10521956;10796881;11260864;11391365;11495044;11565760;11776851;11961639;12130444;12353154;12680166;12860755;14502320;15098038;15362785;15599737;15743357;16030397;16222735;16457147;16778607;17171495;17278119;17588836;17591038;18086629;18094296;18329694;18483680;18705279;18773061;19212186;19556914;19757198;19819644;20225782;20422865;20521066;20955617;21073376;21309938;21478068;21523730;21710047;22059167;22417704;22526039;23062420;23138964;23330003;23458601;23478949;23580078;23592278;23906305;24078426;24196171;24439474;24636838;24777813;24815486;24985031;25240565;25624728;25954104;26095704;26183622;26254395;26269932;26339407;26341821;26607711;27123469;27745798;27748889;28032598;28239818;28415734;28611259;28624787;28653160;28781265;28834905;29058818;29081157;29254154;29312550;29358655;29393466;29446854;29464308;29511671;29573451;29667093;29859128;29865040;29931295;29998424;30034243;30086773;30090008;30111807;30113586;30228815;30314525
KRT19,10770596;10931219;11079031;11353065;11358043;11710692;11813599;12717255;15362741;16168519;16708300;16872309;17033799;17240305;18393293;18417680;19282767;20489148;21475593;21951672;22118304;22228935;22970052;23001532;23052165;23316620;23348905;23905013;24005108;24078426;24678077;2473951;25203810;25435928;25439443;25875552;26178761;26182391;26312917;26877611;27721729;27829832;28645247;29510695;29513894;7678071;10365850;10617275;12667323;12748245;14508391;15048994;15235893;15696116;15743037;15743160;16146811;16439986;16680226;16831286;18184271;18412155;18705771;19094709;19173916;19212669;20450726;20503460;21060703;21199202;21344355;21744084;21911893;22146626;22175889;22306546;23002345;23073321;23073323;23220842;23388123;23573322;23807641;24507101;24804938;24837095;24860692;25039376;25202392;25380521;26192431;26486326;26586401;26956962;27280413;27535234;27552844;28099333;28194091;29110582;29394535;29559246;30001234;30194215;30300991;29909011;20579324;23645518;23807659;26277607;26627606;28439013;11180864
CDKN2A,10436811;10526058;10718212;11034592;11051262;11161385;11382316;11584965;11802210;12107841;12360471;12607585;12668978;12692194;12730870;12738733;14527906;15014024;15467712;15471559;15619210;15655836;15662124;15693199;15782994;15915369;16373701;17369680;18081229;18306229;18393368;18677542;18769787;19860841;19954766;20037816;20422865;21160963;23555160;23803020;23828315;23845469;23887863;24186137;24349281;24361215;24563076;24827397;24928612;25066711;25536104;26111977;26508638;26617872;27009864;27035431;27622582;27725202;27823638;28808481;29460642;29484968;29848569;29958927;7796400;9049204;9923922;10334895;11124819;11340376;11410326;11836554;12210082;12213730;12239913;12378511;12537585;15192787;15447999;15778546;15943996;18158568;18854271;19564843;19582476;19680592;20146264;21777578;23163606;23478949;24081803;24114011;24178677;24337160;24487593;25245603;25289642;25789533;26223884;26932893;12532418;14647920;16699861;24532422;24895231;25681513;25975284;26812694;26857926;27495988;28545228;29564177
