gene1,gene2,similarity_score
CYP1A2,AHR,12282.516698234445
BCL2,BAX,2862.0602487065025
CYP1A1,AHR,1554.413594963646
CYP1A1,CYP1A2,1548.810567417025
BCL2,CASP3,1254.250879724839
BAX,CASP3,1196.0719612367088
BAX,ANXA5,1154.0687038059762
BCL2,ANXA5,1100.27887197612
AHR,TEF,1032.8738624626942
CASP3,ANXA5,971.019063511289
CYP1A2,PNMT,692.0384252536417
RAB11A,CBL,685.5433731109705
GCLC,G6PD,549.8835447723152
MLH1,MSH2,535.1494587057238
ANXA5,PARP1,453.6226496851579
BAX,PARP1,450.90141655727433
CASP3,PARP1,446.95765523017343
BCL2,MCL1,445.5941390273822
CD80,CD86,438.7688062122022
ATF4,ATF6,426.3512372540198
ATF4,XBP1,426.3512372540198
ATF6,XBP1,426.3512372540198
MLH1,MSH6,425.94518067013684
BCL2,PARP1,425.55515503992723
CASP3,COL11A2,425.09070907802635
HOXD13,NCOA6,412.638548889069
GCLC,AIFM1,410.22224409252436
NQO1,GCLC,403.36045397422475
BAX,COL11A2,376.3156773052775
BCL2,COL11A2,366.08632393320426
BCL2,TNFSF10,363.04958913867466
ANXA5,COL11A2,359.5620752742919
MECP2,MBD1,354.43423824387907
NEUROG1,HOXA1,352.73858753648614
SFRP2,SFRP4,346.6560294291295
SFRP2,DKK2,346.6560294291295
SFRP4,DKK2,346.6560294291295
BAX,TNFSF10,343.5185571344835
CASP3,CASP9,339.2500235783813
CDH2,ITK,338.1276750401857
G6PD,AIFM1,329.3748164583026
MSH2,MSH6,327.8153903141481
CASP3,TNFSF10,326.8769954647564
BAX,CASP9,326.79434659845833
BCL2,BCL2L1,326.7790529879277
MLH1,PMS2,321.7083799917382
TOMM20,FIS1,321.6567701541025
TOMM20,MFN2,321.6567701541025
TOMM20,OPA1,321.6567701541025
CRMP1,FIS1,321.6567701541025
CRMP1,MFN2,321.6567701541025
CRMP1,OPA1,321.6567701541025
FIS1,MFN2,321.6567701541025
FIS1,OPA1,321.6567701541025
MFN2,OPA1,321.6567701541025
ANXA5,TNFSF10,320.4976756345151
BCL2,CASP9,317.24241069505405
VIM,CDH17,310.3533848280108
BAX,MCL1,305.55366177371195
ANXA5,CASP9,300.0032179977992
G6PD,TKT,295.71024479238656
HRH1,HRH3,287.4766569192487
HRH1,HRH4,287.4766569192487
HRH3,HRH4,287.4766569192487
SOD3,SOD2,287.4002795864386
TAS1R1,TAS1R2,282.23674875188874
TAS1R1,TAS1R3,282.23674875188874
TAS1R2,TAS1R3,282.23674875188874
NFE2L2,NQO1,278.97156426196244
DDR2,TKT,278.5662135337566
GCLC,TKT,276.7698605534936
BAX,BCL2L1,276.3714220569303
DDR2,G6PD,274.0011805017141
SKP1,CUL1,272.0083888484335
BAX,CASP8,270.5041185182209
ANXA5,MCL1,270.4661045912093
CASP3,MCL1,270.347993997007
ICOS,ICOSLG,264.64748588490653
CASP4,ATF4,258.3314322639667
CASP4,ATF6,258.3314322639667
CASP4,XBP1,258.3314322639667
DDR2,GCLC,257.6448426616609
MSH6,PMS2,254.23440537038323
PRKG2,NPR3,253.90746624089343
VIM,ITK,251.23366603285018
BCL2,CASP8,249.97701008199263
PTCH1,NCOA6,249.11333316396727
LEF1,FHL2,246.3666490487162
CASP3,CASP8,243.26437289138875
KCNN3,RYR3,242.9280374671725
CALM2,CALM1,239.341672505236
ANXA5,CASP8,230.71372746465968
ANXA5,BCL2L1,229.7222375293707
NQO1,AIFM1,229.1416331139199
NEDD8,UBE2M,228.75818409029856
NEDD8,NAE1,228.75818409029856
NEDD8,UBA3,228.75818409029856
UBE2M,NAE1,228.75818409029856
UBE2M,UBA3,228.75818409029856
NAE1,UBA3,228.75818409029856
CDH17,ITK,227.4076594267863
